codeName,full_code,marketName,short_code
가비아,KR7079940003,KOSDAQ,A079940
가온미디어,KR7078890001,KOSDAQ,A078890
가온전선,KR7000500009,KOSPI,A000500
감마누,KR7192410009,KOSDAQ,A192410
강남제비스코,KR7000860007,KOSPI,A000860
강스템바이오텍,KR7217730001,KOSDAQ,A217730
강원랜드,KR7035250000,KOSPI,A035250
갤럭시아에스엠,KR7011420007,KOSPI,A011420
갤럭시아컴즈,KR7094480001,KOSDAQ,A094480
게임빌,KR7063080006,KOSDAQ,A063080
경남스틸,KR7039240007,KOSDAQ,A039240
경남제약,KR7053950002,KOSDAQ,A053950
경농,KR7002100006,KOSPI,A002100
경동나비엔,KR7009450008,KOSPI,A009450
경동도시가스,KR7267290005,KOSPI,A267290
경동인베스트,KR7012320008,KOSPI,A012320
경동제약,KR7011040003,KOSDAQ,A011040
경방,KR7000050005,KOSPI,A000050
경보제약,KR7214390007,KOSPI,A214390
경인양행,KR7012610002,KOSPI,A012610
경인전자,KR7009140005,KOSPI,A009140
경창산업,KR7024910002,KOSDAQ,A024910
계룡건설,KR7013580006,KOSPI,A013580
계양전기,KR7012200002,KOSPI,A012200
계양전기우,KR7012201000,KOSPI,A012205
고려개발,KR7004200002,KOSPI,A004200
고려산업,KR7002140002,KOSPI,A002140
고려시멘트,KR7198440000,KOSDAQ,A198440
고려신용정보,KR7049720006,KOSDAQ,A049720
고려아연,KR7010130003,KOSPI,A010130
고려제강,KR7002240000,KOSPI,A002240
고려제약,KR7014570006,KOSDAQ,A014570
고영,KR7098460009,KOSDAQ,A098460
골드퍼시픽,KR7038530002,KOSDAQ,A038530
골든센츄리,KYG1990V1041,KOSDAQ,A900280
골프존,KR7215000001,KOSDAQ,A215000
골프존뉴딘홀딩스,KR7121440002,KOSDAQ,A121440
골프존데카,KR7183410000,KONEX,A183410
관악산업,KR7076340009,KONEX,A076340
광동제약,KR7009290008,KOSPI,A009290
광림,KR7014200000,KOSDAQ,A014200
광명전기,KR7017040007,KOSPI,A017040
광전자,KR7017900002,KOSPI,A017900
광주신세계,KR7037710001,KOSPI,A037710
광진실업,KR7026910000,KOSDAQ,A026910
광진윈텍,KR7090150004,KOSDAQ,A090150
교보7호스팩,KR7267320000,KOSDAQ,A267320
교보8호스팩,KR7307280008,KOSDAQ,A307280
교보증권,KR7030610000,KOSPI,A030610
구영테크,KR7053270005,KOSDAQ,A053270
국도화학,KR7007690001,KOSPI,A007690
국동,KR7005320007,KOSPI,A005320
국보,KR7001140003,KOSPI,A001140
국보디자인,KR7066620006,KOSDAQ,A066620
국순당,KR7043650001,KOSDAQ,A043650
국영지앤엠,KR7006050009,KOSDAQ,A006050
국일신동,KR7060480001,KOSDAQ,A060480
국일제지,KR7078130002,KOSDAQ,A078130
국제약품,KR7002720001,KOSPI,A002720
굿센,KR7243870003,KONEX,A243870
그린케미칼,KR7083420000,KOSPI,A083420
그린플러스,KR7186230009,KONEX,A186230
극동유화,KR7014530000,KOSPI,A014530
글로벌에스엠,KYG3931T1076,KOSDAQ,A900070
