미국 USD,"1,160.50","1,180.80","1,140.20","1,171.80","1,149.20",1.000
유럽연합 EUR,"1,293.90","1,319.64","1,268.16","1,306.83","1,280.97",1.115
일본 JPY (100엔),"1,060.06","1,078.61","1,041.51","1,070.44","1,049.68",0.914
중국 CNY,165.93,174.22,157.64,167.58,164.28,0.143
홍콩 HKD,149.04,151.97,146.11,150.53,147.55,0.128
대만 TWD,38.52,43.56,35.83,0.00,0.00,0.033
영국 GBP,"1,516.66","1,546.53","1,486.79","1,531.82","1,501.50",1.307
오만 OMR,"3,018.21","3,286.83","2,837.12",0.00,0.00,2.601
캐나다 CAD,886.52,903.98,869.06,895.38,877.66,0.764
스위스 CHF,"1,188.67","1,212.08","1,165.26","1,200.55","1,176.79",1.024
스웨덴 SEK,123.85,126.88,120.82,125.08,122.62,0.107
호주 AUD,808.69,824.62,792.76,816.77,800.61,0.697
뉴질랜드 NZD,777.01,792.31,761.71,784.78,769.24,0.670
체코 CZK,50.71,55.02,46.15,51.26,50.16,0.044
칠레 CLP,1.56,1.68,1.44,0.00,0.00,0.001
터키 TRY,194.90,0.00,0.00,197.04,192.76,0.168
몽골 MNT,0.43,0.00,0.00,0.00,0.00,0.000
이스라엘 ILS,334.67,368.13,307.90,0.00,0.00,0.288
덴마크 DKK,173.27,177.51,169.03,175.00,171.54,0.149
노르웨이 NOK,130.90,134.10,127.70,132.20,129.60,0.113
사우디아라비아 SAR,309.30,328.78,287.96,312.39,306.21,0.267
쿠웨이트 KWD,"3,825.24","4,073.88","3,519.23","3,863.49","3,786.99",3.296
바레인 BHD,"3,077.92","3,274.90","2,831.69","3,108.69","3,047.15",2.652
아랍에미리트 AED,315.94,333.31,294.15,319.09,312.79,0.272
요르단 JOD,"1,636.24","1,781.86","1,505.35",0.00,0.00,1.410
이집트 EGP,72.36,0.00,0.00,0.00,0.00,0.062
태국 THB,38.48,40.40,36.18,38.86,38.10,0.033
싱가포르 SGD,858.04,875.11,840.97,866.62,849.46,0.739
말레이시아 MYR,281.16,298.87,260.36,0.00,278.35,0.242
인도네시아 IDR 100,8.34,8.92,7.51,8.42,8.26,0.007
카타르 QAR,318.73,0.00,0.00,0.00,0.00,0.275
카자흐스탄 KZT,3.05,0.00,0.00,0.00,0.00,0.003
브루나이 BND,858.04,892.36,806.56,0.00,0.00,0.739
인도 INR,16.26,0.00,0.00,0.00,0.00,0.014
파키스탄 PKR,7.49,0.00,0.00,0.00,0.00,0.007
방글라데시 BDT,13.66,0.00,0.00,0.00,0.00,0.012
필리핀 PHP,22.88,25.16,21.01,23.10,22.66,0.020
멕시코 MXN,61.35,67.48,56.20,61.96,60.74,0.053
브라질 BRL,286.08,315.26,263.20,0.00,282.65,0.247
베트남 VND 100,5.01,5.60,4.42,5.06,4.96,0.004
남아프리카 공화국 ZAR,82.95,87.92,76.32,83.94,81.96,0.072
러시아 RUB,18.73,20.04,16.67,18.91,18.55,0.016
헝가리 HUF,3.91,4.27,3.60,3.95,3.87,0.003
폴란드 PLN,303.09,327.33,278.85,306.42,299.76,0.261
